"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",65.4297191139687,36.6192562543239,50.3260600418101,101.784533818033,52.0076670331224,21.445655384415,105.628273189602,19.9821445224923,25.8253047118524,53.7706769371617,56.731165346047,72.7354651324094,0.00823076621129637
"2",82.0211527196734,22.0563734665418,65.2247387751924,97.1347573321549,83.6362203528304,9.37435304397532,127.665068872049,16.0772014911622,16.7864911207414,28.929527216248,30.2329367926457,34.929804496124,0.00855035069308491
"3",62.9168752114001,33.0171891480202,43.4472586196353,82.5398762965389,110.829472764231,19.1313660722721,79.6880849302763,24.6588049018993,11.8007291135255,38.6045429289124,29.869783674718,69.1966465124917,0.00759309259432356
"4",73.9379905627643,29.9205519026453,56.8385870019739,116.679810643136,59.0441651241654,36.8798491783278,103.75578598694,26.200573434918,23.8860121279494,40.1117870962911,45.8902975482772,48.505649996664,0.00797309525472446
"5",53.8386673073586,43.9936909278443,46.2077316591119,93.3098650626244,62.8801695240954,14.7537428397322,112.528800203553,15.5018012838527,26.7145827597648,35.9584854274397,72.8155437932462,64.1528212146978,0.00820786840183554
"6",86.295053529611,45.6454367254747,54.8269567242619,115.065247330706,63.3458009161706,12.5018364239033,77.3771919995047,26.0640580800946,22.4477116856024,41.6578071142946,60.4185884709879,74.4461896363636,0.00805066661519072
"7",83.3474874686617,33.8703336103102,58.2343054171011,91.5004788277649,68.9042329422954,17.2872665020038,93.5912895602553,25.9419771067109,21.670574371865,50.2804949332955,45.9978217763547,59.5486754856337,0.00825154790842879
"8",67.6479262596094,31.0088019358929,55.2271056332403,125.633283229577,63.363068768389,19.8176633988377,92.0368972433219,16.0128337484743,33.0057920075854,38.6990584216018,63.3641354225171,66.4923684827969,0.0079263263393443
"9",72.4613301036606,31.2123760611468,61.9652553617077,123.372565518499,64.7534379418199,15.1105690119189,87.3613959686737,16.0543008533184,22.2097821724537,48.1134331485171,58.8232513547987,64.9788455836556,0.00831879149758774
"10",42.5635493322001,39.5013573003873,43.8357224901868,112.524906450261,85.6118470073995,29.6137026658367,121.306189086514,10.7413607871341,21.0167834682972,37.1871348623802,40.3147911726885,68.0855443957474,0.00797495772070217
"11",60.6972781694893,57.1957035399376,37.258361069713,78.2086451077176,59.3120950939979,17.7522477306223,92.4996567736031,87.3994169318857,28.7933502194175,36.411132246694,81.4829065018518,69.1515147572049,0.00814347392382763
"12",71.301595571158,41.6648807467848,68.5354441644059,88.4932063810257,64.6566539188397,20.3401501281106,57.1591048217961,15.0624639718949,22.8914273940159,44.8346927203257,43.4031174359109,71.5758498487502,0.00784211282831793
"13",87.4320441440916,47.159029604508,64.460557390956,118.958364412585,64.7535498600599,40.8492817152826,129.603858514542,15.7764103043204,18.9299448926021,38.9280041749579,56.0068614715073,92.2649727626313,0.00860878215803366
"14",62.5191297977358,24.5080895954879,61.2576003410421,86.8690741304144,71.224524861438,14.3711137269095,81.5663977463413,112.823473176549,13.6780264794281,40.0113435632207,49.5074176926948,65.4737109848862,0.00796481933491169
